#{"t_start": 1720351577.7083786, "env_id": "HalfCheetah-v4"}
r,l,t
-368.138797,1000,2.01518
-211.274805,1000,2.614283
-256.45326,1000,3.201805
-241.867732,1000,3.78428
-112.106527,1000,4.364976
-228.212394,1000,4.941984
-167.126427,1000,5.512618
-394.246211,1000,6.112928
-277.447578,1000,6.674014
-346.204482,1000,7.265447
-0.721624,1000,13.251057
-496.793845,1000,48.547652
-586.352699,1000,85.317071
-419.29922,1000,121.94106
-64.72217,1000,161.928028
-450.702207,1000,205.06604
-406.231933,1000,249.042003
-160.953952,1000,293.304169
-83.202981,1000,338.768639
-269.331652,1000,391.227948
52.324334,1000,448.975982
51.713419,1000,500.937186
