#{"t_start": 1712503759.1096933, "env_id": "MountainCarContinuous-v0"}
r,l,t
97.416365,630,9.196379
-2.249172,999,22.516382
-0.537362,999,35.835019
-3.753431,999,49.912179
93.064065,498,57.176278
95.948831,172,59.662998
94.03401,375,64.723191
96.311183,164,67.032922
93.398016,218,70.03659
94.503474,175,72.502441
95.72111,198,75.360093
93.852921,171,77.699891
93.114106,177,80.139994
94.177329,224,83.261621
96.224558,174,85.732384
95.232224,192,88.412509
92.412871,713,98.230458
91.26159,438,104.564477
91.812518,336,109.217843
94.027723,258,112.784617
93.796709,304,117.02032
94.966561,578,125.090143
94.992471,257,128.556247
95.781214,219,131.364817
95.59406,369,136.480811
97.320636,174,139.883207
98.025546,330,144.430851
97.647941,364,149.425312
97.211142,330,153.810686
93.857033,550,161.285859
-8.36038,999,174.737444
-4.449606,999,188.006776
